==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.5, gpu_devices='2', height=256, htri_only=False, lr=0.0003, margin=0.3, max_epoch=300, num_instances=4, optim='adam', print_freq=10, resume='', root='/data/clyf/Datasets/market1501', save_dir='log/log_circle_cos_gamma128_lr00003_lrs05_step60', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=30, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 2
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [15][10/93]	Time 0.090 (0.150)	Data 0.001 (0.050)	Loss 39.6460 (32.8240)	
Epoch: [15][20/93]	Time 0.098 (0.123)	Data 0.002 (0.026)	Loss 24.2674 (29.6147)	
Epoch: [15][30/93]	Time 0.092 (0.113)	Data 0.001 (0.018)	Loss 21.2650 (30.8333)	
Epoch: [15][40/93]	Time 0.102 (0.108)	Data 0.002 (0.014)	Loss 22.3796 (32.0154)	
Epoch: [15][50/93]	Time 0.093 (0.105)	Data 0.001 (0.011)	Loss 31.0095 (31.7547)	
Epoch: [15][60/93]	Time 0.125 (0.105)	Data 0.002 (0.010)	Loss 22.9072 (30.9167)	
Epoch: [15][70/93]	Time 0.090 (0.104)	Data 0.001 (0.009)	Loss 27.2281 (31.3811)	
Epoch: [15][80/93]	Time 0.089 (0.103)	Data 0.001 (0.008)	Loss 28.5879 (31.8599)	
Epoch: [15][90/93]	Time 0.093 (0.102)	Data 0.001 (0.007)	Loss 27.1978 (30.8629)	
Epoch: [16][10/93]	Time 0.095 (0.140)	Data 0.001 (0.048)	Loss 39.2563 (28.1073)	
Epoch: [16][20/93]	Time 0.140 (0.123)	Data 0.002 (0.025)	Loss 13.9056 (28.6001)	
Epoch: [16][30/93]	Time 0.098 (0.115)	Data 0.001 (0.017)	Loss 31.2112 (29.0450)	
Epoch: [16][40/93]	Time 0.110 (0.112)	Data 0.002 (0.013)	Loss 18.7345 (28.9450)	
Epoch: [16][50/93]	Time 0.111 (0.110)	Data 0.003 (0.011)	Loss 25.4710 (30.0081)	
Epoch: [16][60/93]	Time 0.092 (0.109)	Data 0.001 (0.009)	Loss 20.1553 (30.8528)	
Epoch: [16][70/93]	Time 0.105 (0.109)	Data 0.001 (0.008)	Loss 21.8232 (31.0514)	
Epoch: [16][80/93]	Time 0.100 (0.108)	Data 0.002 (0.007)	Loss 26.5405 (30.4607)	
Epoch: [16][90/93]	Time 0.099 (0.106)	Data 0.001 (0.007)	Loss 20.2254 (30.5945)	
Epoch: [17][10/93]	Time 0.100 (0.150)	Data 0.002 (0.049)	Loss 33.2873 (26.1194)	
Epoch: [17][20/93]	Time 0.111 (0.128)	Data 0.001 (0.025)	Loss 37.8291 (25.7598)	
Epoch: [17][30/93]	Time 0.090 (0.119)	Data 0.001 (0.018)	Loss 34.8281 (27.0866)	
Epoch: [17][40/93]	Time 0.100 (0.115)	Data 0.001 (0.014)	Loss 26.4007 (27.3906)	
Epoch: [17][50/93]	Time 0.097 (0.112)	Data 0.001 (0.011)	Loss 46.4796 (29.1633)	
Epoch: [17][60/93]	Time 0.109 (0.113)	Data 0.002 (0.012)	Loss 30.5580 (28.6697)	
Epoch: [17][70/93]	Time 0.097 (0.112)	Data 0.002 (0.010)	Loss 24.1744 (29.5580)	
Epoch: [17][80/93]	Time 0.118 (0.111)	Data 0.002 (0.009)	Loss 25.7889 (29.3471)	
Epoch: [17][90/93]	Time 0.100 (0.110)	Data 0.001 (0.008)	Loss 35.8319 (29.5157)	
Epoch: [18][10/93]	Time 0.105 (0.153)	Data 0.002 (0.051)	Loss 26.0602 (28.4836)	
Epoch: [18][20/93]	Time 0.093 (0.125)	Data 0.001 (0.026)	Loss 26.3691 (27.6764)	
Epoch: [18][30/93]	Time 0.128 (0.120)	Data 0.001 (0.018)	Loss 41.6606 (27.4964)	
Epoch: [18][40/93]	Time 0.095 (0.114)	Data 0.001 (0.014)	Loss 19.6302 (27.1631)	
Epoch: [18][50/93]	Time 0.114 (0.112)	Data 0.002 (0.011)	Loss 35.5002 (27.2970)	
Epoch: [18][60/93]	Time 0.103 (0.114)	Data 0.001 (0.010)	Loss 18.3042 (26.8525)	
Epoch: [18][70/93]	Time 0.107 (0.113)	Data 0.003 (0.009)	Loss 41.0979 (26.7680)	
Epoch: [18][80/93]	Time 0.099 (0.111)	Data 0.002 (0.008)	Loss 44.3309 (27.3809)	
Epoch: [18][90/93]	Time 0.095 (0.110)	Data 0.001 (0.007)	Loss 21.3014 (27.3905)	
Epoch: [19][10/93]	Time 0.092 (0.167)	Data 0.001 (0.059)	Loss 17.8900 (31.4107)	
Epoch: [19][20/93]	Time 0.097 (0.133)	Data 0.002 (0.030)	Loss 10.3842 (27.4771)	
Epoch: [19][30/93]	Time 0.091 (0.123)	Data 0.002 (0.021)	Loss 42.5898 (26.3674)	
Epoch: [19][40/93]	Time 0.105 (0.118)	Data 0.001 (0.016)	Loss 40.3548 (26.6839)	
Epoch: [19][50/93]	Time 0.118 (0.115)	Data 0.001 (0.013)	Loss 20.8359 (26.7411)	
Epoch: [19][60/93]	Time 0.097 (0.112)	Data 0.002 (0.011)	Loss 14.6285 (26.5391)	
Epoch: [19][70/93]	Time 0.093 (0.110)	Data 0.002 (0.010)	Loss 18.6218 (26.8045)	
